weights	lr	iterations	mse
[0.21765107 1.08025328]	0.01	100	[0.021470459735190753, 0.02007185721313629, 0.018980656542680156, 0.01807096104410468, 0.017284260981220254, 0.016587820696490497, 0.015961164493875326, 0.015390488127003773, 0.014865968383070593, 0.01438032340916429, 0.013927979609392552, 0.013504559501500823, 0.013106551332079172, 0.012731087383707252, 0.012375790255151002, 0.012038663272825063, 0.011718010481360203, 0.011412377010635924, 0.011120503818659182, 0.010841292791566376, 0.010573779445224125, 0.010317111299138959, 0.010070530546402948, 0.009833360021263856, 0.00960499172893504, 0.009384877388461133, 0.009172520573305778, 0.008967470131903578, 0.008769314642472107, 0.00857767771022056, 0.008392213955766063, 0.008212605574610692, 0.008038559371446638, 0.007869804191644281, 0.007706088686842789, 0.007547179363065067, 0.007392858868927721, 0.007242924488842999, 0.007097186812015247, 0.00695546855282209, 0.006817603502075708, 0.006683435591860749, 0.006552818059284365, 0.0064256126966584235, 0.0063016891774524825, 0.006180924448874757, 0.006063202183213699, 0.005948412281146456, 0.005836450421129577, 0.005727217649757645, 0.005620620008633554, 0.005516568193854494, 0.005414977244700087, 0.005315766258522776, 0.005218858129197606, 0.005124179306798321, 0.005031659576433952, 0.004941231854413912, 0.004852832000112615, 0.004766398642082524, 0.004681873017120306, 0.004599198821127532, 0.0045183220707277144, 0.004439190974707789, 0.004361755814445849, 0.004285968832570263, 0.004211784129168909, 0.004139157564932885, 0.004068046670677468, 0.003998410562735251, 0.003930209863762831, 0.0038634066285441926, 0.0037979642744113444, 0.003733847515936159, 0.0036710223035778295, 0.003609455765997232, 0.003549116155774297, 0.0034899727982864023, 0.003431996043526076, 0.003375157220654161, 0.0033194285951013603, 0.0032647833280457918, 0.003211195438107838, 0.0031586397651159953, 0.0031070919358086283, 0.0030565283313468013, 0.0030069260565228242, 0.0029582629105576828, 0.0029105173593883204, 0.002863668509353072, 0.002817696082190045, 0.002772580391269299, 0.002728302318985322, 0.0026848432952413523, 0.002642185276961817, 0.002600310728573554, 0.0025592026034003627, 0.0025188443259193806, 0.0024792197748308097, 0.0024403132668961046]
[-0.94751402 -1.93145854]	0.001	100	[0.4529560680865207, 0.4522842387398156, 0.4517361953074428, 0.451261936783928, 0.45083802877831947, 0.4504512865070027, 0.45009342855092077, 0.44975885300859475, 0.4494435622494048, 0.44914458557372017, 0.44885964418554125, 0.44858694474893085, 0.4483250459372315, 0.44807276872328516, 0.4478291340743759, 0.4475933184687707, 0.4473646213749142, 0.44714244098260303, 0.4469262557632417, 0.44671561023454387, 0.44651010381436856, 0.4463093819820027, 0.4461131291886915, 0.44592106311208857, 0.4457329299558198, 0.44554850057083323, 0.44536756722947063, 0.4451899409228616, 0.4450154490814699, 0.44484393364054514, 0.44467524938875685, 0.4445092625509498, 0.44434584956568723, 0.44418489602582084, 0.44402629575629804, 0.4438699500080656, 0.4437157667507018, 0.44356366004938985, 0.4434135495142573, 0.44326535981206205, 0.4431190202318159, 0.4429744642972311, 0.4428316294199757, 0.4426904565885899, 0.44255089008869763, 0.442412877250736, 0.4422763682219778, 0.4421413157600342, 0.4420076750454255, 0.44187540351110854, 0.4417444606871146, 0.44161480805871256, 0.44148640893665475, 0.4413592283383033, 0.4412332328785187, 0.4411083906693602, 0.4409846712277409, 0.4408620453902737, 0.4407404852346483, 0.44061996400692466, 0.4405004560542142, 0.4403819367622652, 0.4402643824975321, 0.4401477705533214, 0.4400320790996952, 0.4399172871367892, 0.4398033744512932, 0.4396903215758077, 0.4395781097508722, 0.43946672088943667, 0.43935613754359654, 0.43924634287341285, 0.4391373206176611, 0.43902905506636486, 0.43892153103498516, 0.4388147338401381, 0.43870864927674286, 0.43860326359648866, 0.4384985634875316, 0.43839453605533757, 0.43829116880459656, 0.4381884496221303, 0.4380863667607222, 0.43798490882382984, 0.4378840647510992, 0.43778382380464215, 0.4376841755560269, 0.4375851098739324, 0.4374866169124325, 0.4373886870998647, 0.4372913111282553, 0.4371944799432535, 0.43709818473456824, 0.43700241692685005, 0.43690716817101466, 0.43681243033597283, 0.43671819550074276, 0.4366244559469257, 0.43653120415152696, 0.43643843278010125]
[-1.83813938  0.94169909]	0.0001	100	[1.6915832124214327, 1.6914531479591572, 1.6913469513836255, 1.6912549831948562, 1.6911727250483637, 1.6910976346178257, 1.6910281149703048, 1.690963085827655, 1.6909017762554648, 1.690843613344756, 1.6907881576119883, 1.690735063191285, 1.690684052100911, 1.6906348969439333, 1.6905874088933157, 1.6905414291135055, 1.6904968224889159, 1.690453472943642, 1.6904112798853206, 1.690370155459765, 1.6903300224013398, 1.6902908123283273, 1.6902524643756462, 1.6902149240867335, 1.6901781425069975, 1.690142075435751, 1.6901066828040412, 1.6900719281533907, 1.6900377781961518, 1.6900042024423982, 1.689971172881413, 1.689938663708328, 1.6899066510883671, 1.6898751129524774, 1.6898440288194807, 1.6898133796405772, 1.6897831476629255, 1.689753316309457, 1.6897238700726784, 1.689694794420469, 1.6896660757123096, 1.689637701124526, 1.6896096585833953, 1.6895819367051712, 1.6895545247420847, 1.6895274125336994, 1.689500590462939, 1.689474049416258, 1.689447780747476, 1.6894217762449122, 1.689396028101399, 1.689370528886941, 1.6893452715236787, 1.6893202492629578, 1.6892954556642765, 1.6892708845759565, 1.6892465301173136, 1.6892223866622345, 1.689198448824018, 1.689174711441348, 1.6891511695653005, 1.6891278184473149, 1.6891046535280099, 1.6890816704268021, 1.6890588649322391, 1.6890362329929993, 1.6890137707094879, 1.6889914743260055, 1.6889693402234118, 1.6889473649122995, 1.6889255450265375, 1.688903877317291, 1.6888823586473587, 1.6888609859858814, 1.6888397564033684, 1.6888186670670022, 1.6887977152362335, 1.688776898258636, 1.6887562135659824, 1.6887356586705442, 1.6887152311616171, 1.6886949287022097, 1.6886747490259315, 1.688654689934041, 1.6886347492926579, 1.6886149250301032, 1.6885952151344052, 1.6885756176509006, 1.6885561306799934, 1.6885367523749897, 1.6885174809400691, 1.6884983146283459, 1.6884792517400036, 1.6884602906205666, 1.6884414296591976, 1.688422667287123, 1.688404001976097, 1.6883854322369614, 1.6883669566182562, 1.688348573704891]
[0.2096395  1.18381517]	1e-05	100	[0.021890760167011445, 0.021889289040772187, 0.02188808673785833, 0.021887045034907845, 0.021886113059052994, 0.021885262139828537, 0.021884474249539373, 0.021883737184105148, 0.021883042229450686, 0.02188238290713515, 0.021881754245840594, 0.02188115233216909, 0.02188057402011075, 0.021880016735652947, 0.02187947834102726, 0.021878957037756414, 0.02187845129575426, 0.02187795980040385, 0.021877481412338185, 0.021877015136385333, 0.02187656009724858, 0.02187611552021846, 0.021875680715699567, 0.0218752550666693, 0.021874838018416474, 0.02187442907007311, 0.021874027767570726, 0.021873633697738648, 0.021873246483325982, 0.021872865778776385, 0.021872491266621358, 0.021872122654384405, 0.021871759671910563, 0.021871402069052064, 0.021871049613653406, 0.02187070208979045, 0.02187035929622471, 0.021870021045041883, 0.021869687160448747, 0.021869357477706082, 0.02186903184217935, 0.021868710108491677, 0.02186839213976623, 0.021868077806946114, 0.021867766988183, 0.021867459568285733, 0.02186715543822194, 0.021866854494666754, 0.02186655663959302, 0.021866261779898744, 0.021865969827067386, 0.021865680696857955, 0.021865394309021118, 0.021865110587039462, 0.021864829457889094, 0.021864550851819962, 0.021864274702154345, 0.021864000945100572, 0.021863729519581026, 0.021863460367073272, 0.021863193431462764, 0.02186292865890662, 0.021862665997706525, 0.021862405398191488, 0.021862146812607956, 0.02186189019501768, 0.021861635501202993, 0.021861382688577437, 0.02186113171610295, 0.021860882544212257, 0.021860635134735976, 0.021860389450834485, 0.021860145456933936, 0.021859903118666264, 0.021859662402812664, 0.021859423277250527, 0.021859185710903502, 0.021858949673694204, 0.021858715136500097, 0.02185848207111141, 0.021858250450191647, 0.021858020247240227, 0.021857791436556962, 0.02185756399320897, 0.02185733789299854, 0.021857113112433466, 0.02185688962869841, 0.02185666741962802, 0.021856446463681307, 0.021856226739917106, 0.021856008227971145, 0.021855790908034, 0.021855574760830096, 0.021855359767597875, 0.021855145910070654, 0.021854933170458706, 0.02185472153143195, 0.021854510976103435, 0.021854301488013678, 0.021854093051115808]
[0.11221693 0.29988312]	0.01	250	[0.005236507748434687, 0.004589694639246258, 0.004108301163250644, 0.0037233976448057204, 0.003403121847883067, 0.0031297272846946707, 0.002892158234146881, 0.002682988895036539, 0.002496953770701616, 0.0023301631112573793, 0.002179649873700669, 0.0020430917615916248, 0.001918632236518975, 0.0018047606178148148, 0.0017002290777483231, 0.001603993556247205, 0.001515170685652698, 0.0014330057299432781, 0.0013568482849715558, 0.0012861335633315236, 0.0012203677732285788, 0.0011591165488036106, 0.0011019956889740585, 0.0010486636663754865, 0.0009988155102206538, 0.0009521777674913913, 0.0009085043191303986, 0.0008675728805261646, 0.0008291820544125434, 0.0007931488332945405, 0.0007593064703952369, 0.0007275026548062217, 0.0006975979393701025, 0.0006694643798002484, 0.0006429843513549274, 0.000618049515547432, 0.0005945599142733806, 0.000572423172657226, 0.0005515537950778267, 0.0005318725413915547, 0.0005133058724564973, 0.0004957854557695882, 0.0004792477234354466, 0.0004636334758498634, 0.00044888752544888403, 0.0004349583756826706, 0.00042179793105113497, 0.0004093612346089912, 0.00039760622983014396, 0.00038649354413043473, 0.0003759862916960018, 0.00036604989356190813, 0.0003566519131405451, 0.00034776190561831556, 0.0003393512798279305, 0.0003313931713668613, 0.0003238623258739679, 0.0003167349914993262, 0.0003099888197094337, 0.0003036027736635682, 0.0002975570434790795, 0.00029183296777529757, 0.0002864129609490577, 0.000281280445690601, 0.0002764197902978999, 0.0002718162503910755, 0.00026745591466726147, 0.0002633256543706467, 0.00025941307618304176, 0.00025570647826760257, 0.00025219480922275924, 0.0002488676297252026, 0.00024571507666037626, 0.0002427278295565, 0.00023989707915394697, 0.0002372144979560568, 0.0002346722126203213, 0.00023226277806047502, 0.00022997915314056393, 0.00022781467785156347, 0.00022576305186977814, 0.0002238183144041144, 0.0002219748252464521, 0.00022022724694587616, 0.000218570528033461, 0.00021699988722973277, 0.0002155107985719078, 0.00021409897740255328, 0.000212760367165482, 0.00021149112695852728, 0.00021028761979636416, 0.00020914640153977404, 0.00020806421045073872, 0.00020703795733549124, 0.00020606471624019356, 0.00020514171566625222, 0.00020426633027445168, 0.00020343607304908358, 0.00020264858789512775, 0.00020190164264323435, 0.00020119312243888603, 0.00020052102349358625, 0.00019988344717730198, 0.00019927859443268504, 0.00019870476049277947, 0.00019816032988504654, 0.00019764377170557106, 0.0001971536351482928, 0.00019668854527499924, 0.00019624719901267587, 0.000195828361365587, 0.00019543086183021962, 0.00019505359100188943, 0.00019469549736248894, 0.0001943555842394313, 0.00019403290692644783, 0.00019372656995740375, 0.00019343572452481522, 0.00019315956603521798, 0.00019289733179398056, 0.00019264829881256585, 0.00019241178173165196, 0.000192187130853867, 0.00019197373028026563, 0.00019177099614497677, 0.00019157837494277933, 0.00019139534194463365, 0.00019122139969648678, 0.0001910560765969078, 0.0001908989255493671, 0.00019074952268519738, 0.0001906074661534756, 0.00019047237497429759, 0.00019034388795207424, 0.00019022166264568926, 0.00019010537439250616, 0.00018999471538339168, 0.00018988939378606127, 0.00018978913291420232, 0.00018969367043997253, 0.00018960275764758397, 0.00018951615872582223, 0.00018943365009745124, 0.00018935501978357383, 0.0001892800668011105, 0.00018920860059166384, 0.00018914044048012608, 0.00018907541516147052, 0.00018901336221425496, 0.00018895412763943775, 0.00018889756542318954, 0.00018884353712243803, 0.00018879191147197103, 0.0001887425640119583, 0.00018869537673484193, 0.00018865023775057347, 0.00018860704096924623, 0.00018856568580021872, 0.00018852607686686287, 0.000188488123736131, 0.00018845174066216592, 0.00018841684634322102, 0.0001883833636912044, 0.00018835121961318418, 0.00018832034480423403, 0.00018829067355103168, 0.00018826214354564908, 0.00018823469570900406, 0.00018820827402347441, 0.00018818282537419348, 0.00018815829939857934, 0.00018813464834367365, 0.00018811182693087043, 0.00018808979222767193, 0.0001880685035260877, 0.0001880479222273436, 0.00018802801173256522, 0.00018800873733913688, 0.00018799006614242486, 0.00018797196694260557, 0.00018795441015631584, 0.00018793736773289004, 0.00018792081307493537, 0.0001879047209630258, 0.00018788906748430005, 0.00018787382996475992, 0.00018785898690507798, 0.00018784451791973152, 0.00018783040367929325, 0.00018781662585571195, 0.0001878031670704261, 0.00018779001084517232, 0.0001877771415553384, 0.00018776454438573467, 0.00018775220528865802, 0.0001877401109441312, 0.00018772824872219696, 0.00018771660664717026, 0.0001877051733637423, 0.00018769393810484032, 0.00018768289066115203, 0.00018767202135223124, 0.00018766132099909768, 0.00018765078089825904, 0.00018764039279707786, 0.00018763014887041352, 0.00018762004169847957, 0.00018761006424583999, 0.00018760020984149962, 0.0001875904721600269, 0.00018758084520364906, 0.0001875713232852794, 0.00018756190101242362, 0.00018755257327191834, 0.00018754333521545902, 0.00018753418224588272, 0.0001875251100041569, 0.00018751611435704246, 0.0001875071913853983, 0.00018749833737309162, 0.00018748954879647877, 0.00018748082231443715, 0.0001874721547589073, 0.00018746354312593105, 0.00018745498456714747, 0.00018744647638173554, 0.00018743801600876986, 0.000187429601019974, 0.00018742122911285036, 0.00018741289810416255, 0.00018740460592375877, 0.00018739635060871504, 0.00018738813029777824, 0.0001873799432261014, 0.00018737178772024922, 0.0001873636621934623, 0.00018735556514116861, 0.0001873474951367244, 0.00018733945082737968, 0.00018733143093044739, 0.000187323434229678, 0.00018731545957181484, 0.00018730750586333215, 0.0001872995720673416, 0.00018729165720065752, 0.00018728376033101582, 0.00018727588057443538, 0.00018726801709271807, 0.00018726016909107731, 0.0001872523358158867]
[-1.4428866  -0.43772435]	0.001	250	[1.0438452246597927, 1.0428242122793387, 1.0419910617371373, 1.041269890463805, 1.0406251339612356, 1.0400367826684025, 1.039492268438096, 1.0389830896063492, 1.0385031791868105, 1.0380480286919858, 1.037614179689969, 1.0371989105012835, 1.036800033670611, 1.0364157598205739, 1.0360446030955348, 1.0356853136518285, 1.035336828302885, 1.034998233687773, 1.0346687382861925, 1.0343476508142468, 1.0340343633084388, 1.033728337711532, 1.0334290951131495, 1.0331362070299794, 1.032849288272087, 1.0325679910564096, 1.0322920001108724, 1.0320210285727207, 1.0317548145290507, 1.031493118080793, 1.0312357188364696, 1.0309824137612773, 1.0307330153217753, 1.0304873498780165, 1.0302452562839477, 1.030006584663998, 1.0297711953395272, 1.0295389578832592, 1.029309750283545, 1.0290834582032549, 1.0288599743205307, 1.0286391977405924, 1.028421033469482, 1.0282053919419414, 1.0279921885967644, 1.02778134349394, 1.0275727809686355, 1.0273664293178046, 1.0271622205157176, 1.0269600899552407, 1.0267599762120387, 1.0265618208293004, 1.026365568120822, 1.0261711649905834, 1.0259785607671477, 1.025787707051438, 1.0255985575765831, 1.0254110680786757, 1.0252251961774466, 1.025040901265916, 1.0248581444082254, 1.0246768882449004, 1.0244970969049396, 1.024318735924073, 1.0241417721687232, 1.0239661737651704, 1.0237919100334856, 1.0236189514258531, 1.0234472694689392, 1.0232768367099696, 1.0231076266662402, 1.0229396137777902, 1.0227727733630192, 1.022607081576989, 1.0224425153722523, 1.0222790524620011, 1.0221166712853826, 1.0219553509748165, 1.0217950713251778, 1.0216358127647278, 1.0214775563276606, 1.0213202836281559, 1.0211639768358478, 1.0210086186526168, 1.0208541922906016, 1.020700681451377, 1.0205480703062022, 1.020396343477288, 1.0202454860200192, 1.0200954834060498, 1.0199463215072566, 1.0197979865804692, 1.019650465252944, 1.0195037445085326, 1.0193578116745134, 1.019212654409031, 1.019068260689133, 1.0189246187993548, 1.0187817173208062, 1.0186395451207824, 1.0184980913428114, 1.0183573453971544, 1.018217296951723, 1.0180779359233822, 1.0179392524696373, 1.017801236980668, 1.0176638800716953, 1.0175271725756758, 1.0173911055362972, 1.0172556702012492, 1.0171208580157827, 1.0169866606165232, 1.016853069825527, 1.0167200776445733, 1.0165876762496897, 1.0164558579858791, 1.016324615362048, 1.0161939410461547, 1.0160638278604914, 1.0159342687772024, 1.0158052569139209, 1.0156767855295994, 1.01554884802047, 1.015421437916167, 1.0152945488759841, 1.015168174685269, 1.0150423092519334, 1.0149169466031036, 1.0147920808818778, 1.0146677063441922, 1.0145438173558077, 1.0144204083893915, 1.0142974740216943, 1.0141750089308321, 1.0140530078936458, 1.0139314657831642, 1.0138103775661405, 1.0136897383006622, 1.0135695431338603, 1.01344978729967, 1.0133304661166782, 1.0132115749860229, 1.0130931093893865, 1.0129750648870206, 1.012857437115849, 1.0127402217876296, 1.0126234146871707, 1.0125070116705954, 1.0123910086636647, 1.0122754016601563, 1.012160186720279, 1.0120453599691415, 1.0119309175952673, 1.0118168558491487, 1.011703171041849, 1.0115898595436383, 1.0114769177826692, 1.0113643422437044, 1.0112521294668477, 1.0111402760463555, 1.0110287786294396, 1.0109176339151307, 1.0108068386531568, 1.010696389642872, 1.0105862837321855, 1.0104765178165533, 1.0103670888379686, 1.010257993783992, 1.010149229686814, 1.0100407936223255, 1.0099326827092279, 1.0098248941081607, 1.0097174250208478, 1.0096102726892755, 1.0095034343948783, 1.009396907457761, 1.0092906892359323, 1.0091847771245526, 1.0090791685552114, 1.0089738609952172, 1.0088688519469042, 1.0087641389469633, 1.0086597195657745, 1.0085555914067743, 1.0084517521058245, 1.008348199330602, 1.0082449307800072, 1.008141944183572, 1.008039237300903, 1.0079368079211193, 1.007834653862313, 1.007732772971021, 1.007631163121709, 1.0075298222162674, 1.0074287481835122, 1.0073279389787144, 1.0072273925831232, 1.0071271070035015, 1.0070270802716892, 1.0069273104441476, 1.0068277956015488, 1.0067285338483385, 1.0066295233123395, 1.0065307621443365, 1.0064322485176964, 1.0063339806279752, 1.006235956692549, 1.00613817495024, 1.0060406336609644, 1.0059433311053703, 1.0058462655845055, 1.005749435419469, 1.0056528389510881, 1.0055564745395975, 1.005460340564313, 1.005364435423332, 1.005268757533224, 1.0051733053287384, 1.0050780772625088, 1.0049830718047732, 1.0048882874430902, 1.0047937226820678, 1.0046993760430984, 1.0046052460640897, 1.0045113312992142, 1.00441763031865, 1.0043241417083413, 1.0042308640697548, 1.0041377960196354, 1.0040449361897776, 1.0039522832268026, 1.003859835791925, 1.003767592560741, 1.003675552223008, 1.0035837134824372, 1.0034920750564813, 1.0034006356761407, 1.0033093940857518, 1.0032183490428046, 1.0031274993177346, 1.0030368436937538, 1.0029463809666508, 1.002856109944614, 1.002766029448056, 1.00267613830944, 1.0025864353730956, 1.00249691949507, 1.002407589542949, 1.0023184443956965, 1.0022294829434977]
[-0.34702737 -0.37741166]	0.0001	250	[0.06142967229161195, 0.06140497981625014, 0.061384816559729126, 0.061367355223946575, 0.06135173848613523, 0.061337483704015976, 0.06132428760855165, 0.061311944998504404, 0.06130030940750312, 0.061289271976464485, 0.06127874918969755, 0.06126867531611015, 0.06125899752205687, 0.061249672585514316, 0.06124066461371034, 0.06123194341340711, 0.06122348329933398, 0.061215262204895454, 0.06120726100642483, 0.06119946300147727, 0.06119185350031156, 0.06118441950192332, 0.06117714943418095, 0.06117003294321242, 0.06116306072109618, 0.06115622436367055, 0.061149516252268145, 0.06114292945463246, 0.061136457641345544, 0.061130095014898536, 0.06112383624914409, 0.0611176764373311, 0.061111611047280405, 0.06110563588253808, 0.0610997470485591, 0.06109394092314895, 0.06108821413052385, 0.06108256351846357, 0.06107698613811895, 0.06107147922610315, 0.06106604018856289, 0.06106066658696511, 0.0610553561253809, 0.06105010663907677, 0.061044916084253144, 0.06103978252879296, 0.06103470414389987, 0.061029679196525334, 0.061024706042493874, 0.06101978312025127, 0.06101490894516596, 0.06101008210432681, 0.061005301251784515, 0.06100056510419099, 0.060995872436797875, 0.06099122207977692, 0.06098661291483387, 0.06098204387208439, 0.06097751392717033, 0.06097302209859309, 0.06096856744524419, 0.060964149064116104, 0.06095976608817689, 0.06095541768439528, 0.06095110305190287, 0.06094682142028185, 0.0609425720479684, 0.060938354220762374, 0.06093416725043383, 0.06093001047342002, 0.06092588324960541, 0.06092178496117763, 0.06091771501155447, 0.060913672824376514, 0.06090965784256, 0.06090566952740672, 0.06090170735776517, 0.06089777082924073, 0.060893859453450966, 0.06088997275732288, 0.060886110282429566, 0.06088227158436293, 0.06087845623214086, 0.06087466380764605, 0.060870893905094654, 0.060867146130533636, 0.06086342010136188, 0.06085971544587932, 0.06085603180285532, 0.06085236882112173, 0.06084872615918402, 0.06084510348485247, 0.06084150047489127, 0.06083791681468371, 0.060834352197914485, 0.06083080632626593, 0.060827278909128375, 0.06082376966332475, 0.0608202783128468, 0.06081680458860364, 0.0608133482281813, 0.06080990897561347, 0.06080648658116138, 0.060803080801104185, 0.0607996913975373, 0.060796318138180636, 0.060792960796193625, 0.0607896191499985, 0.060786292983111626, 0.060782982083980176, 0.06077968624582682, 0.06077640526650002, 0.06077313894833043, 0.06076988709799308, 0.060766649526374714, 0.0607634260484464, 0.06076021648314155, 0.060757020653237515, 0.0607538383852426, 0.06075066950928713, 0.06074751385901822, 0.060744371271498857, 0.06074124158711038, 0.060738124649458734, 0.06073502030528401, 0.06073192840437285, 0.06072884879947519, 0.06072578134622197, 0.06072272590304774, 0.060719682331114314, 0.06071665049423836, 0.06071363025882075, 0.060710621493777824, 0.06070762407047656, 0.06070463786266991, 0.06070166274643627, 0.06069869860011913, 0.06069574530426998, 0.060692802741592465, 0.060689870796888576, 0.06068694935700625, 0.06068403831078935, 0.060681137549028014, 0.06067824696441185, 0.060675366451483706, 0.06067249590659544, 0.0606696352278645, 0.0606667843151321, 0.06066394306992298, 0.06066111139540558, 0.06065828919635447, 0.060655476379112734, 0.06065267285155615, 0.060649878523058844, 0.06064709330445877, 0.06064431710802479, 0.060641549847425424, 0.06063879143769706, 0.060636041795213966, 0.06063330083765931, 0.060630568483996346, 0.06062784465444092, 0.06062512927043417, 0.06062242225461677, 0.06061972353080321, 0.06061703302395706, 0.06061435066016696, 0.06061167636662285, 0.060609010071593465, 0.060606351704403795, 0.0606037011954138, 0.060601058475996984, 0.060598423478519924, 0.06059579613632244, 0.06059317638369795, 0.06059056415587435, 0.060587959388996, 0.06058536202010511, 0.060582771987124404, 0.06058018922884009, 0.06057761368488499, 0.0605750452957222, 0.06057248400262936, 0.06056992974768299, 0.060567382473743374, 0.06056484212443989, 0.06056230864415647, 0.06055978197801769, 0.06055726207187467, 0.0605547488722923, 0.06055224232653555, 0.06054974238255709, 0.0605472489889846, 0.06054476209510829, 0.060542281650869875, 0.06053980760685003, 0.0605373399142573, 0.060534878524917415, 0.0605324233912615, 0.06052997446631661, 0.06052753170369437, 0.060525095057581385, 0.06052266448272914, 0.06052023993444424, 0.060517821368579076, 0.06051540874152226, 0.060513002010190026, 0.06051060113201676, 0.060508206064946925, 0.060505816767425905, 0.06050343319839232, 0.060501055317269244, 0.06049868308395682, 0.060496316458824105, 0.060493955402701464, 0.060491599876873206, 0.06048924984307006, 0.060486905263462364, 0.060484566100652296, 0.06048223231766813, 0.060479903877956424, 0.060477580745375854, 0.060475262884190785, 0.06047295025906488, 0.06047064283505486, 0.06046834057760436, 0.06046604345253799, 0.06046375142605558, 0.060461464464726236, 0.060459182535483026, 0.060456905605616854, 0.06045463364277198, 0.06045236661493992, 0.06045010449045454, 0.06044784723798699, 0.06044559482654056, 0.06044334722544589, 0.06044110440435608, 0.06043886633324221, 0.060436632982387856, 0.06043440432238616, 0.06043218032413332, 0.0604299609588261, 0.06042774619795616, 0.06042553601330656, 0.06042333037694732, 0.06042112926123152, 0.06041893263879115, 0.06041674048253318, 0.06041455276563605]
